date,title,url
2026-08,"CoP: Finalising the CoRE Stack data sharing policy",https://www.linkedin.com/feed/update/urn:li:activity:7493163394854998016
2026-08,"Know Your Landscape: Mission Antyodaya, Census, and MGNREGA data on village entities",https://www.linkedin.com/feed/update/urn:li:activity:7491555904119631872
2026-07,"Chahat Bansal’s PhD: intra-annual LULC methods in the CoRE Stack",https://www.linkedin.com/feed/update/urn:li:activity:7490450014331166720
2026-07,"The WELL Labs Water Data Podcast: Aaditeshwar Seth and Veena Srinivasan",https://www.linkedin.com/feed/update/urn:li:activity:7486037132948578305
2026-07,"Dainik Bhaskar on CoRE Stack and PRADAN: Commons Connect for NRM planning",https://www.linkedin.com/feed/update/urn:li:activity:7483416103533301760
2026-07,"Gram Vaani: Building the the missing contextualization layer for India’s digital public infrastructure?",https://www.linkedin.com/feed/update/urn:li:activity:7480242083123912704
2026-07,"AI for equity and participation: Paper by Anuradha Ganapathy, University of Manchester",https://www.linkedin.com/feed/update/urn:li:activity:7479779123276476416
2026-07,"CoRE Insights: A neurosymbolic prototype to diagnose landscape stresses",https://www.linkedin.com/feed/update/urn:li:activity:7477407961271717897
2026-06,"PRADAN on integrating Commons Connect DPRs with Yuktdhara for pan-India scaling",https://www.linkedin.com/feed/update/urn:li:activity:7466727793729667072
2026-06,"CoRE stack featured: IDR article on community-led data for governing the commons",https://www.linkedin.com/feed/update/urn:li:activity:7465767230434115585
2026-05,"Landscape stewardship dashboard for the Commons Connect network",https://www.linkedin.com/feed/update/urn:li:activity:7459303447419334656
2026-05,"Know Your Landscape facelift: Waterbodies, marginalisation, and compound risk",https://www.linkedin.com/feed/update/urn:li:activity:7455347553757335552
2026-04,"Waterbody rejuvenation in Chhatarpur, MP: Desilting and soil improvement",https://www.linkedin.com/feed/update/urn:li:activity:7451827304588271616
2026-04,"Taru Jain at PAIRS: Participatory practices in Commons Connect",https://www.linkedin.com/feed/update/urn:li:activity:7449659824851812354
2026-04,"Innovation challenge #2: Mining insights from news events for ecological research",https://www.linkedin.com/feed/update/urn:li:activity:7446628685069119488
2026-04,"Thanks to Tower Research Capital for funding CoRE Stack research",https://www.linkedin.com/feed/update/urn:li:activity:7446058133715861504
2026-03,"Meet the CoRE Stack innovation challenge winners",https://www.linkedin.com/feed/update/urn:li:activity:7436361754617552897
2026-02,"About project EPIC: On equity for irrigation water management",https://www.linkedin.com/feed/update/urn:li:activity:7430976802858160128
2026-02,"Presenting the CoRE stack: Data for Breakfast with the California Water Data Consortium",https://www.linkedin.com/feed/update/urn:li:activity:7430424781939712001
2026-02,"Top-20 finalist, AI for ALL, India AI Impact Summit 2026",https://www.linkedin.com/feed/update/urn:li:activity:7428958666130878464
2026-02,"More participation, less“AI: The CoRE stack mantra",https://www.linkedin.com/feed/update/urn:li:activity:7428274330213560320
2026-01,"Solving landscapes together: 2nd solvability workshop",https://www.linkedin.com/feed/update/urn:li:activity:7417506569887813632
2026-01,"Protected-areas tree-cover tracker",https://www.linkedin.com/feed/update/urn:li:activity:7414926927796555776
2025-12,"Understanding water flow for river rejuvenation",https://www.linkedin.com/feed/update/urn:li:activity:7407411446541828097
2025-12,"A micro-watershed registry for India",https://www.linkedin.com/feed/update/urn:li:activity:7405112147862683648
2025-12,"Rapid geospatial analysis capability provided by the CoRE stack",https://www.linkedin.com/feed/update/urn:li:activity:7401599475989086209
2025-11,"Explaining the CoRE stack data structure",https://www.linkedin.com/feed/update/urn:li:activity:7400720205427109888
2025-11,"CoRE Stack innovation challenge on geospatial programming",https://www.linkedin.com/feed/update/urn:li:activity:7397940156940546048
2025-11,"STACD: Dataset lineage tracking throug directed acyclic graphs",https://www.linkedin.com/feed/update/urn:li:activity:7392623117451485186
2025-11,"RNE workshop, Guwahati: Digital tools for restoration",https://www.linkedin.com/feed/update/urn:li:activity:7391152162652774400
2025-09,"IndiaFOSS 2025: CoRE Stack in the FOSS-in-Science devroom",https://www.linkedin.com/feed/update/urn:li:activity:7376305801940049920
2025-08,"First release of CoRE Stack dataset APIs",https://www.linkedin.com/feed/update/urn:li:activity:7364864036817076224
